Číslo přejezdu železniční	Název definičního úseku 	Žkm přejezdu	Přejezd s trolejovým vedením	Třída pozemní komunikace	Číslo pozemní komunikace	Místní název přejezdu	Zeměpisná šířka	Zeměpisná délka
P46	Lužná u Rakovníka - Krupá	65,558	Ne	O			50° 10' 09.40574'' N	13° 43' 36.41203'' E
P46	Krupá - Kněževes	0,28	Ne	O			50° 10' 09.40574'' N	13° 43' 36.41203'' E
P47	Krupá - Hranice OŘ-ST 665/671	66,389	Ne	I.	6		50° 10' 15.85183'' N	13° 42' 56.27315'' E
P48	Krupá - Hranice OŘ-ST 665/671	71,345	Ne	III.	22541		50° 12' 06.65185'' N	13° 40' 16.89383'' E
P49	Hranice OŘ-ST 665/671 - Měcholupy	77,2	Ne	III.	22710		50° 13' 32.99233'' N	13° 36' 21.24103'' E
P50	Hranice OŘ-ST 665/671 - Měcholupy	78,18	Ne	III.	22710		50° 13' 54.13360'' N	13° 35' 54.86098'' E
P51	Hranice OŘ-ST 665/671 - Měcholupy	80,278	Ne	III.	22711		50° 14' 40.77852'' N	13° 34' 51.62567'' E
P52	Hranice OŘ-ST 665/671 - Měcholupy	81,207	Ne	II.	227		50° 15' 09.14669'' N	13° 34' 46.10123'' E
P53	Hranice OŘ-ST 665/671 - Měcholupy	82,363	Ne	III.	22712		50° 15' 12.62650'' N	13° 33' 50.11578'' E
P55	Měcholupy - Trnovany	92,515	Ne	III.	22720		50° 16' 54.66501'' N	13° 33' 25.82605'' E
P56	Měcholupy - Trnovany	92,913	Ne	II.	227	Holedeč zastávka	50° 17' 06.86613'' N	13° 33' 31.91926'' E
P57	Měcholupy - Trnovany	94,535	Ne	MK		Veletice zastávka	50° 17' 48.15047'' N	13° 34' 20.68531'' E
P58	Měcholupy - Trnovany	95,201	Ne	H			50° 18' 06.22252'' N	13° 34' 39.26275'' E
P59	Měcholupy - Trnovany	96,489	Ne	H			50° 18' 23.11039'' N	13° 35' 36.54409'' E
P60	Trnovany - Žatec	99,108	Ne	H			50° 19' 41.18184'' N	13° 35' 26.51027'' E
P61	Trnovany - Žatec	99,836	Ne	H			50° 20' 02.39152'' N	13° 35' 10.42892'' E
P62	žst. Žatec	102,868	Ano	II.	250		50° 20' 19.39922'' N	13° 32' 58.78914'' E
P62		0,102	ne	II	250	ulice Lounská	50° 20' 19.255'' N	13° 32' 58.046'' E
P63	Velichov - Hořetice	106,137	Ano	I.	27		50° 21' 53.35228'' N	13° 32' 29.66486'' E
P64	Velichov - Hořetice	106,686	Ano	III.	22528		50° 22' 08.42324'' N	13° 32' 16.16129'' E
P65	Velichov - Hořetice	108,978	Ano	III.	22528		50° 22' 37.96246'' N	13° 30' 32.21188'' E
P66	žst. Hořetice	109,62	Ano	III.	22528		50° 22' 47.91642'' N	13° 30' 03.61847'' E
P67	Hořetice - Březno u Chomutova	111,139	Ano	III.	22528		50° 22' 54.26915'' N	13° 28' 48.05857'' E
P68	Hořetice - Březno u Chomutova	113,097	Ano	H			50° 23' 07.77018'' N	13° 27' 12.73228'' E
P69	Hořetice - Březno u Chomutova	115,16	Ano	III.	22512		50° 23' 35.18438'' N	13° 25' 42.03217'' E
P70	žst. Březno u Chomutova	116,142	Ano	O			50° 23' 49.37183'' N	13° 24' 58.83459'' E
P72	Dubina - Kadaň-Prunéřov	130,672	Ano	MK		přechod na důl SHR	50° 26' 30.79412'' N	13° 19' 48.46410'' E
P73	Dubina - Kadaň-Prunéřov	132,465	Ano	O			50° 26' 22.54939'' N	13° 18' 29.27629'' E
P74	žst. Klášterec nad Ohří	144,617	Ano	II.	224	ul. Pražská	50° 23' 10.93513'' N	13° 11' 30.79658'' E
P75	Perštejn - Stráž nad Ohří	151,943	Ano	III.	1988		50° 22' 08.66942'' N	13° 06' 34.68273'' E
P76	Perštejn - Stráž nad Ohří	154,831	Ano	MK		Zastávka Boč	50° 21' 33.75804'' N	13° 04' 55.13022'' E
P77	žst. Vojkovice nad Ohří	163,941	Ano	III.	22125		50° 18' 11.40126'' N	13° 00' 57.25038'' E
P78	žst. Ostrov nad Ohří	170,153	Ano	III.	22127		50° 18' 01.29177'' N	12° 57' 09.07664'' E
P79	Ostrov nad Ohří - Hájek	176,26	Ano	III.	22222		50° 17' 11.57014'' N	12° 55' 49.56664'' E
P80	Hájek - Dalovice	179,337	Ano	O			50° 16' 24.31419'' N	12° 54' 47.13029'' E
P81	Hájek - Dalovice	179,575	Ano	III.	22222		50° 16' 20.75612'' N	12° 54' 36.60671'' E
P82	žst. Dalovice	182,304	Ano	III.	22129		50° 15' 24.39570'' N	12° 53' 10.84808'' E
P83	Dalovice - Karlovy Vary	184,15	Ano	B		Teplárenská ulice	50° 14' 34.87901'' N	12° 52' 46.71158'' E
P84	Karlovy Vary - Karlovy Vary-Dvory	188,909	Ano	MK		Sachrův Dvůr	50° 14' 09.62390'' N	12° 50' 33.77107'' E
P85	Karlovy Vary-Dvory - Chodov-karlovarské zhlaví	193,244	Ano	III.	2226		50° 14' 06.58149'' N	12° 47' 25.55177'' E
P86	Karlovy Vary-Dvory - Chodov-karlovarské zhlaví	195,154	Ano	O			50° 13' 46.54240'' N	12° 46' 02.14547'' E
P87	Citice - Dasnice	213,744	Ano	C			50° 08' 56.16101'' N	12° 36' 03.00916'' E
P88	Citice - Dasnice	216,005	Ano	C			50° 08' 09.29001'' N	12° 34' 39.50740'' E
P89	žst. Dasnice	216,93	Ano	O			50° 08' 08.42763'' N	12° 34' 05.28611'' E
P90	žst. Kynšperk n.Ohří	222,298	Ano	II.	212		50° 07' 44.09069'' N	12° 31' 18.15125'' E
P91	žst. Kynšperk n.Ohří	223,047	Ano	MK			50° 07' 23.51212'' N	12° 30' 59.00514'' E
P92	žst. Kynšperk n.Ohří	223,235	Ano	MK			50° 07' 20.42477'' N	12° 30' 50.86404'' E
P93	Kynšperk n.Ohří - Nebanice	224,103	Ano	H			50° 07' 16.66132'' N	12° 30' 09.53267'' E
P94	Nebanice - Tršnice	226,265	Ano	MK			50° 06' 57.57242'' N	12° 28' 31.00258'' E
P95	Nebanice - Tršnice	227,229	Ano	C			50° 07' 01.94472'' N	12° 27' 43.61594'' E
P96	Nebanice - Tršnice	228,823	Ano	III.	21226		50° 07' 00.61511'' N	12° 26' 23.50516'' E
P97	žst. Tršnice	231,51	Ano	III.	21227		50° 07' 06.89203'' N	12° 24' 15.00896'' E
P97	Tršnice - Nový Drahov	0,591	Ne	III.	21227		50° 07' 06.89203'' N	12° 24' 15.00896'' E
P98	žst. Tršnice	232,68	Ano	III.	21228		50° 06' 34.45227'' N	12° 23' 45.44399'' E
P99	Tršnice - Cheb (klášterecké staničení)	233,121	Ano	MK			50° 06' 20.16847'' N	12° 23' 47.79122'' E
P100	Tršnice - Cheb (klášterecké staničení)	234,565	Ano	III.	21226	Hradiště	50° 05' 34.51476'' N	12° 23' 45.75966'' E
P101	Tršnice - Nový Drahov	0,955	Ne	H			50° 07' 17.96517'' N	12° 24' 15.17267'' E
P102	Tršnice - Nový Drahov	1,614	Ne	III.	21217		50° 07' 36.57416'' N	12° 24' 14.01119'' E
P103	Tršnice - Nový Drahov	2,111	Ne	III.	21231		50° 07' 52.18612'' N	12° 24' 14.28360'' E
P104	Tršnice - Nový Drahov	3,562	Ne	V			50° 08' 34.44694'' N	12° 24' 07.54856'' E
P105	Tršnice - Nový Drahov	3,792	Ne	III.	21311		50° 08' 41.91838'' N	12° 24' 06.85165'' E
P106	Nový Drahov - Vonšov	5,274	Ne	3L			50° 09' 11.64942'' N	12° 23' 09.21323'' E
P107	Vonšov - Skalná	5,838	Ne	MK			50° 09' 21.86571'' N	12° 22' 45.89950'' E
P107		0,13	ne	MK			50° 15' 61.35'' N	12° 37' 97.81'' E
P108	Vonšov - Skalná	6,025	Ne	O			50° 09' 24.68608'' N	12° 22' 37.25710'' E
P110	Vonšov - Skalná	7,094	Ne	O			50° 09' 49.86626'' N	12° 22' 09.05641'' E
P111	Skalná - LB MINERALS Skalná	8,128	Ne	O			50° 10' 20.33833'' N	12° 22' 21.62452'' E
P111		0,04	ne	MK			50° 10' 20.35'' N	12° 22' 21.046'' E
P112	LB MINERALS Skalná - Velký Luh	8,963	Ne	V			50° 10' 41.75183'' N	12° 22' 45.27036'' E
P113	LB MINERALS Skalná - Velký Luh	9,95	Ne	II.	213		50° 11' 12.16397'' N	12° 22' 33.54111'' E
P115	LB MINERALS Skalná - Velký Luh	11,135	Ne	C			50° 11' 48.73231'' N	12° 22' 21.39357'' E
P116	LB MINERALS Skalná - Velký Luh	11,389	Ne	III.	2135		50° 11' 56.71474'' N	12° 22' 19.94587'' E
P117	LB MINERALS Skalná - Velký Luh	11,837	Ne	2L			50° 12' 11.24585'' N	12° 22' 21.15184'' E
P118	Velký Luh - Nový Kostel	12,486	Ne	3L			50° 12' 22.76707'' N	12° 22' 45.27002'' E
P119	Velký Luh - Nový Kostel	13,168	Ne	3L			50° 12' 22.90851'' N	12° 23' 19.63636'' E
P121	Nový Kostel - Luby u Chebu	16,4	Ne	III.	21240		50° 13' 15.74696'' N	12° 25' 16.13726'' E
P122	Nový Kostel - Luby u Chebu	17,784	Ne	V			50° 13' 57.79920'' N	12° 24' 54.42223'' E
P123	Nový Kostel - Luby u Chebu	18,493	Ne	V			50° 14' 20.22948'' N	12° 24' 46.60044'' E
P125	Nový Kostel - Luby u Chebu	20,415	Ne	C			50° 15' 04.10104'' N	12° 24' 17.59585'' E
P126	Nový Kostel - Luby u Chebu	20,495	Ne	C			50° 15' 06.40658'' N	12° 24' 15.82471'' E
P127	Nový Kostel - Luby u Chebu	20,581	Ne	MK			50° 15' 08.27691'' N	12° 24' 12.73308'' E
P127		20,581	ne				50° 15' 8.2'' N	12° 24' 12.72'' E
P129	km 0,664 - Svatava	0,791	Ne	O			50° 11' 06.16327'' N	12° 38' 00.80106'' E
P130	žst. Svatava - ZV 5	1,454	Ne	III.	21030		50° 11' 20.38186'' N	12° 37' 36.11761'' E
P131	Svatava - Oloví	3,461	Ne	O			50° 11' 53.63833'' N	12° 36' 11.23982'' E
P132	Svatava - Oloví	5,016	Ne	O			50° 12' 33.82287'' N	12° 35' 59.11991'' E
P133	Svatava - Oloví	6,303	Ne	MK			50° 13' 03.61885'' N	12° 35' 17.53204'' E
P134	Svatava - Oloví	8,125	Ne	O			50° 13' 24.97552'' N	12° 35' 00.97139'' E
P135	Svatava - Oloví	11,257	Ne	O			50° 14' 37.66082'' N	12° 33' 55.21526'' E
P136	Svatava - Oloví	12,338	Ne	III.	21042		50° 15' 08.82471'' N	12° 33' 39.31035'' E
P137	Oloví - Rotava	13,25	Ne	MK			50° 15' 32.24105'' N	12° 33' 10.79214'' E
P138	Oloví - Rotava	15,684	Ne	O			50° 16' 28.91714'' N	12° 32' 57.68628'' E
P139	Oloví - Rotava	15,94	Ne	III.	21042		50° 16' 32.93224'' N	12° 33' 08.79157'' E
P140	Oloví - Rotava	16,822	Ne	III.	21042		50° 16' 52.77158'' N	12° 32' 44.95390'' E
P141	Oloví - Rotava	17,527	Ne	MK			50° 17' 04.41972'' N	12° 32' 16.18729'' E
P142	Rotava - Kraslice předměstí	18,766	Ne	O			50° 17' 35.53967'' N	12° 31' 39.83380'' E
P143	Kraslice předměstí - Kraslice	22,605	Ne	MK			50° 19' 28.38213'' N	12° 30' 46.20298'' E
P144	Kraslice předměstí - Kraslice	23,305	Ne	MK			50° 19' 44.31286'' N	12° 30' 22.34936'' E
P145	Kraslice - Kraslice st.hr.	23,916	Ne	MK			50° 19' 58.46882'' N	12° 30' 02.53253'' E
P146	Kraslice - Kraslice st.hr.	24,315	Ne	MK			50° 20' 11.43227'' N	12° 29' 58.54531'' E
P147	Kraslice - Kraslice st.hr.	24,791	Ne	MK			50° 20' 25.53321'' N	12° 29' 48.83349'' E
P148	Kraslice - Kraslice st.hr.	27,004	Ne	O			50° 21' 05.72322'' N	12° 28' 19.02065'' E
P149	Stará Role - Nová Role	6,923	Ne	II.	220		50° 14' 50.27611'' N	12° 49' 46.72191'' E
P151	Stará Role - Nová Role	8,212	Ne	MK			50° 15' 07.55773'' N	12° 48' 57.13366'' E
P152	Stará Role - Nová Role	8,292	Ne	O			50° 15' 10.11339'' N	12° 48' 56.80423'' E
P153	Stará Role - Nová Role	8,797	Ne	MK			50° 15' 15.26140'' N	12° 48' 34.40911'' E
P154	Stará Role - Nová Role	10,96	Ne	MK			50° 16' 02.36364'' N	12° 47' 21.15522'' E
P155	Stará Role - Nová Role	11,485	Ne	II.	209		50° 16' 10.05687'' N	12° 46' 58.36910'' E
P156	Stará Role - Nová Role	11,823	Ne	C			50° 16' 17.13233'' N	12° 46' 47.14035'' E
P156	SEDLECKÝ KAOLIN Božičany - Nová Role	6,212	Ne	C			50° 16' 17.13233'' N	12° 46' 47.14035'' E
P157	Nová Role - Nejdek	12,22	Ne	C			50° 16' 29.90009'' N	12° 46' 49.21915'' E
P158	Nová Role - Nejdek	13,065	Ne	MK			50° 16' 48.40663'' N	12° 46' 23.21274'' E
P159	Nová Role - Nejdek	13,708	Ne	MK			50° 17' 03.13819'' N	12° 46' 00.03759'' E
P160	Nová Role - Nejdek	14,212	Ne	MK			50° 17' 10.18329'' N	12° 45' 39.90771'' E
P161	Nová Role - Nejdek	14,85	Ne	MK			50° 17' 26.89804'' N	12° 45' 22.01068'' E
P162	Nová Role - Nejdek	15,025	Ne	C			50° 17' 31.96608'' N	12° 45' 18.69470'' E
P163	Nová Role - Nejdek	15,113	Ne	III.	20910		50° 17' 34.64390'' N	12° 45' 17.00062'' E
P164	Nová Role - Nejdek	15,759	Ne	2L			50° 17' 52.83410'' N	12° 45' 02.61826'' E
P165	Nová Role - Nejdek	16,099	Ne	III.	20910		50° 18' 01.73699'' N	12° 45' 10.77674'' E
P166	Nová Role - Nejdek	16,695	Ne	4L			50° 18' 19.44874'' N	12° 45' 16.93399'' E
P167	Nová Role - Nejdek	17,081	Ne	3L			50° 18' 31.37748'' N	12° 45' 11.79540'' E
P168	Nová Role - Nejdek	17,138	Ne	4L			50° 18' 33.23224'' N	12° 45' 11.02351'' E
P169	Nová Role - Nejdek	17,723	Ne	C			50° 18' 41.22097'' N	12° 44' 47.00926'' E
P170	Nová Role - Nejdek	18,114	Ne	O			50° 18' 51.66151'' N	12° 44' 35.68808'' E
P171	žst. Nejdek	19,08	Ne	III.	20910		50° 19' 10.67716'' N	12° 43' 57.79041'' E
P172	žst. Nejdek	19,212	Ne	III.	20912		50° 19' 10.74541'' N	12° 43' 50.80977'' E
P173	Nejdek - METALIS	20,548	Ne	C			50° 19' 23.92182'' N	12° 43' 32.95771'' E
P174	METALIS - Nové Hamry	21,306	Ne	MK			50° 19' 41.54908'' N	12° 43' 24.58476'' E
P175	METALIS - Nové Hamry	21,479	Ne	C			50° 19' 45.87456'' N	12° 43' 18.83711'' E
P176	METALIS - Nové Hamry	21,703	Ne	MK			50° 19' 52.26238'' N	12° 43' 13.69736'' E
P177	METALIS - Nové Hamry	21,828	Ne	C			50° 19' 55.55746'' N	12° 43' 10.35926'' E
P178	METALIS - Nové Hamry	22,467	Ne	C			50° 20' 10.89532'' N	12° 42' 48.67700'' E
P179	METALIS - Nové Hamry	22,989	Ne	C			50° 20' 26.60311'' N	12° 42' 48.72023'' E
P180	METALIS - Nové Hamry	23,315	Ne	III.	2194		50° 20' 34.60145'' N	12° 42' 37.89609'' E
P181	METALIS - Nové Hamry	24,331	Ne	III.	2194		50° 21' 04.73190'' N	12° 42' 49.37160'' E
P182	METALIS - Nové Hamry	25,876	Ne	MK			50° 21' 35.37462'' N	12° 43' 13.79006'' E
P183	Nové Hamry - Pernink	26,428	Ne	O			50° 21' 18.11461'' N	12° 43' 08.85713'' E
P185	Nové Hamry - Pernink	27,985	Ne	O			50° 20' 34.86006'' N	12° 43' 24.96164'' E
P186	Nové Hamry - Pernink	28,382	Ne	C			50° 20' 30.16282'' N	12° 43' 43.66205'' E
P187	Nové Hamry - Pernink	28,689	Ne	O			50° 20' 26.04559'' N	12° 43' 57.81024'' E
P188	Nové Hamry - Pernink	30,794	Ne	1L			50° 20' 44.58099'' N	12° 45' 06.51360'' E
P189	Nové Hamry - Pernink	31,391	Ne	1L			50° 21' 03.55156'' N	12° 45' 03.54790'' E
P190	Nové Hamry - Pernink	33,606	Ne	2L			50° 20' 50.73737'' N	12° 46' 32.72381'' E
P191	Nové Hamry - Pernink	34,661	Ne	III.	21047		50° 21' 14.82009'' N	12° 46' 52.46518'' E
P192	Nové Hamry - Pernink	36,035	Ne	4L			50° 21' 51.14857'' N	12° 46' 24.71932'' E
P193	Pernink - Horní Blatná	36,784	Ne	O			50° 22' 14.50279'' N	12° 46' 18.15198'' E
P194	Pernink - Horní Blatná	38,147	Ne	O			50° 22' 57.43949'' N	12° 46' 12.67328'' E
P195	Pernink - Horní Blatná	38,304	Ne	O			50° 23' 02.42647'' N	12° 46' 12.39752'' E
P196	Horní Blatná - Potůčky	40,162	Ne	4L			50° 23' 40.83345'' N	12° 45' 14.41305'' E
P197	Horní Blatná - Potůčky	40,95	Ne	4L			50° 23' 58.44538'' N	12° 44' 52.45170'' E
P198	Horní Blatná - Potůčky	41,614	Ne	4L			50° 24' 17.61354'' N	12° 44' 37.99346'' E
P199	Horní Blatná - Potůčky	42,419	Ne	4L			50° 24' 38.24683'' N	12° 44' 15.77639'' E
P200	Horní Blatná - Potůčky	43,314	Ne	O			50° 25' 06.27077'' N	12° 44' 07.75340'' E
P201	Horní Blatná - Potůčky	44,478	Ne	4L			50° 25' 37.01602'' N	12° 44' 07.71557'' E
P202	Horní Blatná - Potůčky	44,885	Ne	C			50° 25' 31.91522'' N	12° 44' 25.72772'' E
P203	Horní Blatná - Potůčky	45,281	Ne	III.	2196		50° 25' 38.20121'' N	12° 44' 39.38796'' E
P204	dD3 Potůčky	45,755	Ne	4L			50° 25' 47.66858'' N	12° 44' 22.07357'' E
P205	Merklín - Hroznětín	0,047	Ne	C			50° 19' 34.97303'' N	12° 51' 54.16218'' E
P206	Merklín - Hroznětín	1,656	Ne	II.	221		50° 18' 47.90832'' N	12° 51' 40.61192'' E
P207	Merklín - Hroznětín	2,25	Ne	III.	22136		50° 18' 35.31002'' N	12° 52' 01.08847'' E
P208	Hroznětín - Sadov	2,707	Ne	O	22129		50° 18' 21.35350'' N	12° 52' 08.54281'' E
P209	Hroznětín - Sadov	2,991	Ne	O			50° 18' 12.88427'' N	12° 52' 13.56038'' E
P210	Hroznětín - Sadov	3,318	Ne	O			50° 18' 08.23524'' N	12° 52' 28.42634'' E
P211	Hroznětín - Sadov	3,511	Ne	O			50° 18' 04.97031'' N	12° 52' 36.60375'' E
P212	Hroznětín - Sadov	5,048	Ne	MK			50° 17' 26.46748'' N	12° 52' 27.62796'' E
P213	Hroznětín - Sadov	5,445	Ne	4L			50° 17' 14.50987'' N	12° 52' 26.70436'' E
P215	Hroznětín - Sadov	6,301	Ne	2L		přejezd Šachta	50° 16' 50.13872'' N	12° 52' 34.22733'' E
P216	Hroznětín - Sadov	6,672	Ne	2L		U Obory	50° 16' 38.95702'' N	12° 52' 39.96386'' E
P217	Hroznětín - Sadov	7,03	Ne	III.	22132		50° 16' 31.00636'' N	12° 52' 52.97907'' E
P218	Sadov - Dalovice	8,218	Ne	O			50° 16' 01.13689'' N	12° 53' 29.26183'' E
P219	Sadov - Dalovice	10,079	Ne	O			50° 15' 35.78778'' N	12° 53' 07.82461'' E
P221	Krupá - Kněževes	1,271	Ne	O			50° 09' 46.96299'' N	13° 43' 45.42161'' E
P222	Krupá - Kněževes	1,769	Ne	O			50° 09' 37.88661'' N	13° 43' 25.19324'' E
P223	Krupá - Kněževes	2,769	Ne	O			50° 09' 06.01128'' N	13° 43' 16.09678'' E
P224	Krupá - Kněževes	3,065	Ne	O			50° 08' 56.61122'' N	13° 43' 13.56546'' E
P225	Krupá - Kněževes	3,292	Ne	O			50° 08' 50.50367'' N	13° 43' 08.14186'' E
P226	Krupá - Kněževes	4,091	Ne	O			50° 08' 53.09400'' N	13° 42' 28.44554'' E
P227	Krupá - Kněževes	5,004	Ne	O			50° 08' 58.07228'' N	13° 41' 43.25993'' E
P228	Krupá - Kněževes	5,812	Ne	O			50° 08' 58.15732'' N	13° 41' 02.75968'' E
P229	Krupá - Kněževes	6,217	Ne	H			50° 08' 55.95821'' N	13° 40' 42.69367'' E
P230	Krupá - Kněževes	6,495	Ne	O			50° 08' 55.22743'' N	13° 40' 28.45145'' E
P231	Krupá - Kněževes	6,905	Ne	III.	22913		50° 08' 54.16519'' N	13° 40' 07.97145'' E
P232	Krupá - Kněževes	7,109	Ne	O			50° 08' 53.50620'' N	13° 39' 57.93913'' E
P233	Krupá - Kněževes	7,36	Ne	O			50° 08' 51.64836'' N	13° 39' 45.28045'' E
P234	Krupá - Kněževes	7,549	Ne	D			50° 08' 50.55234'' N	13° 39' 36.16361'' E
P235	Krupá - Kněževes	8,536	Ne	III.	2274		50° 08' 40.67447'' N	13° 38' 50.47433'' E
P236	Krupá - Kněževes	8,866	Ne	II.	227		50° 08' 35.34821'' N	13° 38' 36.12190'' E
P237	Kněževes - Kolešovice	9,62	Ne	III.	2276		50° 08' 23.41529'' N	13° 38' 02.92895'' E
P238	Kněževes - Kolešovice	10,661	Ne	D			50° 08' 08.07462'' N	13° 37' 17.03586'' E
P239	Kněževes - Kolešovice	11,09	Ne	V			50° 08' 03.34280'' N	13° 36' 58.32533'' E
P240	Kněževes - Kolešovice	11,393	Ne	H			50° 08' 05.00906'' N	13° 36' 43.22682'' E
P241	Kněževes - Kolešovice	11,63	Ne	D			50° 08' 06.33311'' N	13° 36' 31.05814'' E
